"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Production Smoke P0","0","Courses Service - Learning Management","0","0","Content Insights","0"
"1","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","0","0","Evaluations by Type","0"
"1","Production Smoke P0","0","Interview Service - AI Mock Interviews","0","0","Candidate Profile","0"
"1","Production Smoke P0","0","Interview Service - AI Mock Interviews","0","0","Comprehensive Analysis","0"
"1","Production Smoke P0","0","Resumes Service - ATS & AI Builder","0","0","Admin Repository","0"
"2","Production Smoke P0","0","Courses Service - Learning Management","0","0","Quiz Assessment Analytics","0"
"1","Production Smoke P0","0","Resumes Service - ATS & AI Builder","0","0","Service Health","0"
"1","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","0","0","Performance Gap Analysis","0"
"1","Production Smoke P0","0","Jobs Service - Career & Listings","0","0","Service Availability","0"
"1","Production Smoke P0","0","Resumes Service - ATS & AI Builder","0","0","Re-Analysis Trigger","0"
"1","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","0","0","Calendar & Availability","0"
"1","Production Smoke P0","0","Jobs Service - Career & Listings","0","0","Search Engine","0"
"1","Production Smoke P0","0","Quiz Service - Skills Assessment & AI Generation","0","0","Company Questions","0"
"1","Production Smoke P0","0","Resumes Service - ATS & AI Builder","0","0","Admin Skills Query","0"
"1","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","0","0","AI Mentor Matching","0"
"1","Production Smoke P0","0","Courses Service - Learning Management","0","0","Engagement Metrics","0"
"1","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","0","0","Mentor Profile","0"
"1","Production Smoke P0","0","Auth Service - Identity & Permissions","0","0","User Preferences","0"
"1","Production Smoke P0","0","Courses Service - Learning Management","0","0","Course Reviews","0"
"3","Production Smoke P0","0","Courses Service - Learning Management","0","0","Learner Analytics","0"
"1","Production Smoke P0","0","Resumes Service - ATS & AI Builder","0","0","PDF Export","0"
"1","Production Smoke P0","0","Courses Service - Learning Management","0","0","Course Discovery","0"
"1","Production Smoke P0","0","Auth Service - Identity & Permissions","0","0","System Availability","0"
