"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify longitudinal performance trend scoring.","353","test_prod_interview_performance_trends","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify filtering evaluation scores by assessment category.","552","test_prod_quiz_evaluation_by_type","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify candidate transition constraints.","811","test_prod_jobs_it_journey_constraints","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify skill weakness and performance gap diagnostics.","3597","test_prod_quiz_analyze_performance_gaps","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify candidate interview profile.","277","test_prod_interview_user_profile","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify extracted skills from analyzed resume.","1139","test_prod_resumes_get_extracted_skills","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify finding mentors by domain keyword and expertise.","458","test_prod_mentorship_search_mentors","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify identification of challenging quiz questions.","276","test_prod_courses_difficult_quiz_questions","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify AI suggests target interview roles based on candidate skill set.","3164","test_prod_interview_suggest_roles","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify code problem generation in specific language.","3361","test_prod_quiz_coding_generate_question","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify Auth microservice gateway is healthy and OpenAPI schema is reachable.","1938","test_prod_auth_health_and_docs","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify active job listings count and platform statistics.","634","test_prod_jobs_stats","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify Prometheus metrics and service availability.","689","test_prod_courses_metrics","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify active subscription plan status and tier entitlements.","294","test_prod_billing_my_subscription","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify course ratings and learner feedback.","543","test_prod_courses_list_reviews","tests.api","2026-09-21","failed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify quiz question performance averages.","271","test_prod_courses_quiz_averages","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify conversation transcript retrieval for an interview session.","272","test_prod_interview_conversation_history","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify Interview API and AI analysis worker health.","2094","test_prod_interview_health","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify assessment question bank retrieval.","347","test_prod_quiz_assessment_questions","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify candidate can start a live AI-guided mock interview.","753","test_prod_interview_start_session","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify AI programming challenge generation with test cases.","3313","test_prod_quiz_generate_challenge","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify role details by ID.","1447","test_prod_auth_get_role_details","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify keyword search and query filtering.","1457","test_prod_jobs_search_jobs","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify past completed mock interview attempts via admin.","535","test_prod_interview_user_history","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify authenticated /me endpoint returns user profile details.","1035","test_prod_auth_me_profile","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify AI aptitude question generator produces valid questions.","4712","test_prod_quiz_generate_aptitude","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify financial audit overview dashboard via admin.","2088","test_prod_billing_audit_dashboard","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify drop-off point metrics across video lectures.","269","test_prod_courses_content_dropoff_rates","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify personalized learning recommendations based on test results.","3911","test_prod_quiz_skill_based_recommendations","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify unbilled usage retry queue is operational via admin.","1945","test_prod_billing_dead_usage_queue","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify career progression roadmaps.","325","test_prod_jobs_it_journey_recommendations","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify scheduled 1-on-1 mentorship sessions.","321","test_prod_mentorship_list_sessions","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify mentee career targets and milestones.","298","test_prod_mentorship_my_goals","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify detection of at-risk and struggling learners.","277","test_prod_courses_struggling_students","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify user can query pending university and institutional invites.","269","test_prod_auth_pending_invites","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify user can retrieve all saved resumes.","994","test_prod_resumes_list_my_resumes","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify company profile information.","659","test_prod_jobs_get_company","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify AI structured resume generation.","2579","test_prod_resumes_generate_formatted","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify credit flow reporting endpoint responds via admin.","563","test_prod_billing_credit_flow_report","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify AI enhancement of experience bullet points for higher ATS score.","2181","test_prod_resumes_enhance_section_ai","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify student engagement KPIs.","272","test_prod_courses_engagement_metrics","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify RBAC roles can be listed by Admin.","1864","test_prod_auth_list_roles","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify ATS compatibility analysis and score breakdown.","553","test_prod_resumes_get_analysis","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify hiring companies directory.","345","test_prod_jobs_list_companies","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify user mentorship alerts and session reminders.","272","test_prod_mentorship_list_notifications","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify DAU metric aggregation for courses.","284","test_prod_courses_daily_active_users","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify admin dashboard overview metrics respond.","418","test_prod_auth_dashboard_overview","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify detailed public profile of a mentor.","301","test_prod_mentorship_get_mentor_profile","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify job posting audit trail via admin.","329","test_prod_jobs_audits","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify AI job recommendations tailored to candidate skills.","1220","test_prod_jobs_recommend_jobs","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify credit cost catalog for API consumption features.","292","test_prod_billing_pricing_entries","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify IT career pathways and progression roles.","308","test_prod_jobs_it_journey_roles","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify user evaluation results and test scores.","1094","test_prod_quiz_my_evaluations","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify Jobs service gateway and documentation endpoint.","1227","test_prod_jobs_root_and_docs","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify admin dashboard database connections respond.","391","test_prod_auth_dashboard_databases","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
